method,rows,seed,compression,test_latency_seconds_median,test_latency_seconds_samples,process_peak_rss_bytes,compile.kl,compile.js,compile.agreement,compile.accuracy,compile.log_loss,compile.roc_auc,validation.kl,validation.js,validation.agreement,validation.accuracy,validation.log_loss,validation.roc_auc,test.kl,test.js,test.agreement,test.accuracy,test.log_loss,test.roc_auc,best_step,training_seconds,label_min,label_max
synthetic_stratified,32,43,15.84375,0.11127870890777558,"[0.20723687496501952, 0.11127870890777558, 0.10402354097459465]",2284797952,0.07594446837902069,0.020430613309144974,0.9053254723548889,0.8106508875739645,0.3517741560935974,0.9596137873754154,0.15417170524597168,0.042415447533130646,0.8941176533699036,0.8705882352941177,0.2827318608760834,0.9765568632756133,0.1697121411561966,0.04249347746372223,0.7764706015586853,0.7529411764705882,0.4798017740249634,0.9255292797480298,40.0,11.054399750079028,0.0,3.0
random,32,44,15.84375,0.10164237499702722,"[0.10361595801077783, 0.09969800000544637, 0.10164237499702722]",2284797952,0.6800981760025024,0.18633732199668884,0.5384615659713745,0.5857988165680473,0.9166286587715149,0.8519102990033223,0.7587815523147583,0.20109404623508453,0.5411764979362488,0.5647058823529412,0.9436542987823486,0.8450962058774559,0.6304610967636108,0.1777791827917099,0.6352941393852234,0.5882352941176471,0.9303483963012695,0.864011596042846,,,,
synthetic_random,32,44,15.84375,0.09999704197980464,"[0.09733037510886788, 0.10080933291465044, 0.09999704197980464]",2284797952,0.09857548028230667,0.02694268524646759,0.8934911489486694,0.8461538461538461,0.3762066662311554,0.9592308047249907,0.1470031887292862,0.042590558528900146,0.8823529481887817,0.8588235294117647,0.2925589084625244,0.9805920988733489,0.19584687054157257,0.051208801567554474,0.8235294222831726,0.788235294117647,0.5427016615867615,0.92412244005994,50.0,11.772438500076532,0.0,3.0
stratified,32,44,15.84375,0.10611387493554503,"[0.10611387493554503, 0.10309066693298519, 0.11607154202647507]",2284797952,0.5184457898139954,0.14925126731395721,0.6982248425483704,0.6863905325443787,0.7788957953453064,0.8961378737541528,0.5483130812644958,0.15813522040843964,0.7058823704719543,0.7058823529411765,0.7306308150291443,0.8998818889443889,0.5478897094726562,0.15596048533916473,0.6823529601097107,0.6588235294117647,0.812354326248169,0.8775451458263959,,,,
synthetic_stratified,32,44,15.84375,0.09683950000908226,"[0.09704837494064122, 0.09670412505511194, 0.09683950000908226]",2284797952,0.04646803438663483,0.012432366609573364,0.9289940595626831,0.8461538461538461,0.3584989607334137,0.963406699889258,0.11603996157646179,0.03048025816679001,0.8823529481887817,0.8823529411764706,0.2371138334274292,0.9856989711677211,0.15433114767074585,0.040521152317523956,0.8588235378265381,0.8235294117647058,0.4534316062927246,0.9486020750083249,50.0,11.193395416950807,0.0,3.0
random,128,42,3.9609375,0.13258512504398823,"[0.13258512504398823, 0.12978770805057138, 0.1334045419935137]",2284797952,0.10501964390277863,0.029464229941368103,0.8639053106307983,0.8165680473372781,0.37327349185943604,0.9489364156515319,0.11620018631219864,0.032684870064258575,0.9058823585510254,0.9058823529411765,0.2493509203195572,0.9854967081529582,0.11281567811965942,0.031263746321201324,0.8470588326454163,0.788235294117647,0.3724138140678406,0.9398153755966256,,,,
synthetic_random,128,42,3.9609375,0.140196125023067,"[0.140196125023067, 0.13471395801752806, 0.15031212498433888]",2284797952,0.005703326780349016,0.0014730918919667602,0.9704142212867737,0.863905325443787,0.280458927154541,0.9774709302325582,0.041967425495386124,0.01043546199798584,0.9529411792755127,0.9294117647058824,0.15383946895599365,0.9932133838383839,0.04157711938023567,0.010977043770253658,0.8588235378265381,0.8235294117647058,0.3548678159713745,0.9546455974580974,40.0,12.022724875016138,0.0,3.0
stratified,128,42,3.9609375,0.13922050001565367,"[0.14080045802984387, 0.13922050001565367, 0.1347433750052005]",2284797952,0.10308419167995453,0.028898730874061584,0.857988178730011,0.7988165680473372,0.38609033823013306,0.9487380029531192,0.11332973837852478,0.03148050606250763,0.9176470637321472,0.8941176470588236,0.266909122467041,0.9809077554390054,0.1286221146583557,0.03381432592868805,0.8470588326454163,0.8588235294117647,0.3614346981048584,0.9632777639027639,,,,
synthetic_stratified,128,42,3.9609375,0.14071883296128362,"[0.1395457920152694, 0.1608803749550134, 0.14071883296128362]",2284797952,0.007896319963037968,0.00206318823620677,0.9644970297813416,0.8816568047337278,0.28186559677124023,0.979125138427464,0.07385599613189697,0.018557127565145493,0.929411768913269,0.9294117647058824,0.1910373419523239,0.9884898088023089,0.054473746567964554,0.014467716217041016,0.9058823585510254,0.8235294117647058,0.32885268330574036,0.9652996656121656,50.0,11.86542683292646,0.0,3.0
random,128,43,3.9609375,0.13897491700481623,"[0.1415573749691248, 0.13897491700481623, 0.13783262495417148]",2284797952,0.14462579786777496,0.040813148021698,0.8461538553237915,0.8106508875739645,0.40514224767684937,0.9418004798818752,0.18961165845394135,0.05277823656797409,0.8588235378265381,0.8705882352941177,0.34804514050483704,0.9638065927128427,0.12805570662021637,0.03548908233642578,0.8235294222831726,0.8117647058823529,0.386025995016098,0.940791847041847,,,,
