dataset,m,seed,N,d,K,source_rows,source_class_counts,context_class_counts,initial_class_counts,dependency_deviation,before_compile_kl,before_compile_js,before_compile_agreement,before_compile_accuracy,before_compile_log_loss,before_compile_roc_auc,before_validation_kl,before_validation_js,before_validation_agreement,before_validation_accuracy,before_validation_log_loss,before_validation_roc_auc,before_test_kl,before_test_js,before_test_agreement,before_test_accuracy,before_test_log_loss,before_test_roc_auc,before_G_val,before_G_test,before_latency_seconds,after_compile_kl,after_compile_js,after_compile_agreement,after_compile_accuracy,after_compile_log_loss,after_compile_roc_auc,after_validation_kl,after_validation_js,after_validation_agreement,after_validation_accuracy,after_validation_log_loss,after_validation_roc_auc,after_test_kl,after_test_js,after_test_agreement,after_test_accuracy,after_test_log_loss,after_test_roc_auc,after_G_val,after_G_test,after_latency_seconds,status,delta_kl,relative_improvement,win,validation_delta_kl,best_step,adam_steps,training_seconds,labels_unchanged,final_class_counts,execution_device,device_deviation,reload_verified,artifact,missing_initial_classes,reload_max_prediction_error,reload_max_kl_error
diabetes,128,43,460,8,2,768,"{'tested_negative': 500, 'tested_positive': 268}","[299, 161]","[83, 45]",False,0.02376510575413704,0.005703698843717575,0.9350649118423462,0.7532467532467533,0.4951193630695343,0.8153703703703703,0.01890154927968979,0.004369557835161686,0.9610389471054077,0.7272727272727273,0.5326683521270752,0.7858220211161387,0.0242649856954813,0.005445023532956839,0.9610389471054077,0.7142857142857143,0.5289987921714783,0.8044444444444445,-0.00486355647444725,0.0004998799413442612,0.11194491700734943,0.004776433575898409,0.001203465275466442,0.9740259647369385,0.7532467532467533,0.45535609126091003,0.8451851851851852,0.006968890782445669,0.001692173769697547,0.948051929473877,0.7142857142857143,0.5105746388435364,0.8001508295625943,0.007513900753110647,0.0018203642684966326,0.9740259647369385,0.7532467532467533,0.49131903052330017,0.8266666666666667,0.0021924572065472603,0.0027374671772122383,0.11824495904147625,complete,0.016751084942370653,0.6903397822933847,True,0.01193265849724412,50,50,10.560322333010845,True,"[83, 45]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/diabetes/compiled-128-43-stratified.csv,0,8.344650268554688e-07,7.450580596923828e-09
diabetes,128,44,460,8,2,768,"{'tested_negative': 500, 'tested_positive': 268}","[299, 161]","[83, 45]",False,0.029508216306567192,0.006985453423112631,0.8896104097366333,0.7207792207792207,0.48684969544410706,0.8161111111111111,0.030107418075203896,0.0072616757825016975,0.8701298832893372,0.7402597402597403,0.5481076240539551,0.7714932126696832,0.025988591834902763,0.00616895966231823,0.948051929473877,0.7792207792207793,0.49221986532211304,0.84,0.0005992017686367035,-0.0035196244716644287,0.11889995797537267,0.006217616144567728,0.0015393662033602595,0.9610389471054077,0.7532467532467533,0.4579903781414032,0.8466666666666668,0.011097720824182034,0.002710383851081133,0.9610389471054077,0.7272727272727273,0.5217945575714111,0.7918552036199096,0.005118937231600285,0.0012605255469679832,0.9740259647369385,0.7532467532467533,0.49391981959342957,0.8237037037037036,0.0048801046796143055,-0.0010986789129674435,0.11993374989833683,complete,0.02086965460330248,0.8030313737612541,True,0.019009697251021862,50,50,12.320358791039325,True,"[83, 45]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/diabetes/compiled-128-44-stratified.csv,0,1.2516975402832031e-06,2.7474015951156616e-08
phoneme,8,42,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[6, 2]",False,0.41373518109321594,0.12029868364334106,0.7252544164657593,0.7243293246993524,0.6023057699203491,0.5786946594459145,0.3910386860370636,0.11380911618471146,0.7537037134170532,0.7240740740740741,0.6135784387588501,0.5401948439260389,0.4038641154766083,0.11816322803497314,0.7412199378013611,0.7301293900184843,0.6150055527687073,0.5244657380881821,-0.022696495056152344,-0.009871065616607666,0.43258133297786117,0.38007116317749023,0.10961857438087463,0.7160037159919739,0.7169287696577243,0.5666680335998535,0.668768597970606,0.3584679067134857,0.10315820574760437,0.7370370626449585,0.7148148148148148,0.5787281394004822,0.6124163297766585,0.36059412360191345,0.10461345314979553,0.7356746792793274,0.7208872458410351,0.5684559345245361,0.6615792419901874,-0.021603256464004517,-0.019477039575576782,0.3895351249957457,complete,0.043269991874694824,0.1071399765825469,True,0.03257077932357788,40,50,14.974354124977253,True,"[6, 2]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-8-42-stratified.csv,0,8.344650268554688e-07,5.960464477539063e-08
phoneme,8,43,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[6, 2]",False,0.364409476518631,0.10680420696735382,0.7271045446395874,0.7280296022201665,0.5548778176307678,0.7049671521715836,0.3410835564136505,0.09991676360368729,0.7333333492279053,0.7148148148148148,0.5594053268432617,0.6966830141162437,0.34770622849464417,0.10210452973842621,0.7486136555671692,0.7412199630314233,0.5433890223503113,0.7255424939905825,-0.02332592010498047,-0.016703248023986816,0.4228058330481872,0.3228842616081238,0.09305721521377563,0.7539315223693848,0.7493061979648473,0.5145250558853149,0.762312783863762,0.31273820996284485,0.08976582437753677,0.7518518567085266,0.737037037037037,0.5279555916786194,0.7408211279740209,0.312381774187088,0.08973412215709686,0.7652495503425598,0.7689463955637708,0.5014409422874451,0.7782277980835721,-0.01014605164527893,-0.010502487421035767,0.4043484589783475,complete,0.03532445430755615,0.101592814314801,True,0.028345346450805664,50,50,12.229118458926678,True,"[6, 2]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-8-43-stratified.csv,0,8.940696716308594e-07,2.9802322387695312e-08
phoneme,8,44,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[6, 2]",False,0.40180110931396484,0.11541604995727539,0.6993524432182312,0.7058279370952821,0.5881851315498352,0.5945498157719034,0.3773668110370636,0.10804776102304459,0.729629635810852,0.7074074074074074,0.5983369946479797,0.5400457286765192,0.38237622380256653,0.11040684580802917,0.7208872437477112,0.7060998151571165,0.5869913697242737,0.5952945437781949,-0.024434298276901245,-0.019424885511398315,0.39525337505619973,0.3671702742576599,0.10405606776475906,0.7224791646003723,0.727104532839963,0.5587716102600098,0.6868823000898472,0.34317970275878906,0.09706036746501923,0.7425925731658936,0.7314814814814815,0.5636404752731323,0.6843395851282391,0.3480599522590637,0.09900559484958649,0.7486136555671692,0.7375231053604436,0.5502611994743347,0.7090948006190523,-0.02399057149887085,-0.01911032199859619,0.3951902500120923,complete,0.03431627154350281,0.0897447838211338,True,0.034187108278274536,50,50,12.056106999982148,True,"[6, 2]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-8-44-stratified.csv,0,4.76837158203125e-07,2.9802322387695312e-08
phoneme,32,42,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[23, 9]",False,0.23542694747447968,0.0618465319275856,0.8122109174728394,0.8020351526364478,0.4146551787853241,0.8661399474105032,0.2291087806224823,0.05918705463409424,0.8037037253379822,0.7962962962962963,0.42965438961982727,0.8583570813175161,0.2281031608581543,0.058646347373723984,0.8170055747032166,0.8022181146025879,0.4132285416126251,0.8712338239652276,-0.0063181668519973755,-0.007323786616325378,0.41622062493115664,0.18131430447101593,0.04972539842128754,0.8445883393287659,0.8196114708603145,0.3769657015800476,0.8884492692697644,0.2055080235004425,0.054102133959531784,0.8037037253379822,0.8037037037037037,0.412965327501297,0.866823513818013,0.18849141895771027,0.051203835755586624,0.8114602565765381,0.7966728280961183,0.38929107785224915,0.877967664394613,0.024193719029426575,0.007177114486694336,0.43387370801065117,complete,0.03961174190044403,0.17365713719800907,True,0.023600757122039795,50,50,14.091456707916223,True,"[23, 9]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-32-42-stratified.csv,0,3.159046173095703e-06,1.4901161193847656e-08
phoneme,32,43,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[23, 9]",False,0.29244500398635864,0.08466309309005737,0.7363552451133728,0.7261794634597595,0.48909792304039,0.7975840154306486,0.2864345610141754,0.08257046341896057,0.720370352268219,0.7055555555555556,0.49355819821357727,0.7849426734707403,0.2826315760612488,0.08195744454860687,0.7467652559280396,0.7689463955637708,0.47516584396362305,0.8140044123942178,-0.0060104429721832275,-0.009813427925109863,0.4218055830569938,0.20416289567947388,0.05599304288625717,0.846438467502594,0.8251618871415356,0.3900443911552429,0.8865616525301482,0.2191474586725235,0.05943756550550461,0.8129629492759705,0.7944444444444444,0.4197964668273926,0.861720458612234,0.19805096089839935,0.05496509000658989,0.8280960917472839,0.8133086876155268,0.3952183723449707,0.8756132898679575,0.014984562993049622,-0.006111934781074524,0.41137170896399766,complete,0.08458061516284943,0.2992610250473926,True,0.06728710234165192,30,50,13.349470167071559,True,"[23, 9]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-32-43-stratified.csv,0,3.3676624298095703e-06,4.470348358154297e-08
phoneme,32,44,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[23, 9]",False,0.3710502088069916,0.08667045831680298,0.7705827951431274,0.7622571692876966,0.5668431520462036,0.7583397215559237,0.36260104179382324,0.08214090764522552,0.7611111402511597,0.7462962962962963,0.5914158821105957,0.7383358738153623,0.34307414293289185,0.08000104129314423,0.7744916677474976,0.7597042513863216,0.5403535962104797,0.7929796832296092,-0.008449167013168335,-0.02797606587409973,0.4177427910035476,0.17939762771129608,0.05007350072264671,0.8344125747680664,0.8112858464384829,0.36751627922058105,0.8978131671571173,0.18074862658977509,0.04936828836798668,0.8074073791503906,0.8037037037037037,0.37706446647644043,0.888511498442574,0.1738329529762268,0.047894999384880066,0.8391866683959961,0.8317929759704251,0.37334245443344116,0.8936086140472191,0.001350998878479004,-0.005564674735069275,0.5695665840758011,complete,0.16924118995666504,0.49330791446375494,True,0.18185241520404816,50,50,13.096757250023074,True,"[23, 9]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-32-44-stratified.csv,0,2.205371856689453e-06,8.940696716308594e-08
phoneme,128,42,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[90, 38]",False,0.18247410655021667,0.04888018220663071,0.8436632752418518,0.820536540240518,0.3801101744174957,0.889953592653956,0.18311093747615814,0.04676005244255066,0.8407407402992249,0.8296296296296296,0.37175676226615906,0.89596726091855,0.17245224118232727,0.0454251691699028,0.8539741039276123,0.8317929759704251,0.3607730269432068,0.9005729526820112,0.0006368309259414673,-0.010021865367889404,0.4908278330694884,0.12699371576309204,0.034800514578819275,0.8880665898323059,0.8482886216466234,0.3170745372772217,0.9227684495989845,0.1488652378320694,0.03859003633260727,0.8574073910713196,0.8351851851851851,0.3477577567100525,0.9067035588839552,0.13551507890224457,0.035419005900621414,0.8890942931175232,0.8558225508317929,0.3265745937824249,0.9170041818960124,0.021871522068977356,0.008521363139152527,0.4940443329978734,complete,0.0369371622800827,0.21418777759478597,True,0.034245699644088745,50,50,15.138531875098124,True,"[90, 38]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-128-42-stratified.csv,0,3.5762786865234375e-06,4.470348358154297e-08
phoneme,128,43,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[90, 38]",False,0.19238053262233734,0.05251556634902954,0.8408880829811096,0.8344125809435707,0.3786000609397888,0.8901060857093398,0.2043268084526062,0.05401908606290817,0.8185185194015503,0.7925925925925926,0.4020441174507141,0.8714957916362913,0.1946789175271988,0.05245652049779892,0.8170055747032166,0.8170055452865065,0.3717667758464813,0.8908426355823371,0.01194627583026886,0.00229838490486145,0.5065850000828505,0.13135242462158203,0.035785041749477386,0.8825162053108215,0.8575393154486587,0.320024311542511,0.9225005563935804,0.14919044077396393,0.038535863161087036,0.8740741014480591,0.8407407407407408,0.34245219826698303,0.9092385181257869,0.15424872934818268,0.04104500263929367,0.8687615394592285,0.8428835489833642,0.3417663872241974,0.9095459185353486,0.017838016152381897,0.022896304726600647,0.4859566669911146,complete,0.04043018817901611,0.20767625325103614,True,0.05513636767864227,50,50,13.395751333096996,True,"[90, 38]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-128-43-stratified.csv,0,3.516674041748047e-06,8.940696716308594e-08
phoneme,128,44,3242,5,2,5404,"{'1': 3818, '2': 1586}","[2291, 951]","[90, 38]",False,0.16932173073291779,0.04649728164076805,0.8473635315895081,0.8223866790009251,0.36360737681388855,0.8991526331841375,0.16257835924625397,0.04296494275331497,0.8574073910713196,0.8462962962962963,0.35299545526504517,0.9103651666777123,0.16632488369941711,0.04446808248758316,0.8595194220542908,0.8262476894639557,0.3572656214237213,0.9060884454542462,-0.006743371486663818,-0.0029968470335006714,0.48480895801912993,0.11511176079511642,0.031209832057356834,0.8991674184799194,0.8630897317298798,0.3114636242389679,0.9259543180263277,0.14660775661468506,0.03776084631681442,0.864814817905426,0.8462962962962963,0.3392656445503235,0.9130161044469481,0.12834937870502472,0.033241938799619675,0.8946395516395569,0.8613678373382625,0.31181326508522034,0.9282821298034181,0.031495995819568634,0.013237617909908295,0.49215000006370246,complete,0.037975504994392395,0.22832124784780763,True,0.01597060263156891,40,50,13.360771332983859,True,"[90, 38]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/phoneme/compiled-128-44-stratified.csv,0,2.3096799850463867e-06,2.9802322387695312e-08
spambase,8,42,2760,57,2,4601,"{'0': 2788, '1': 1813}","[1672, 1088]","[5, 3]",False,0.6596085429191589,0.1406274139881134,0.7021738886833191,0.6923913043478261,0.7739688158035278,0.851808946711816,0.6585423350334167,0.13915836811065674,0.7217391133308411,0.7130434782608696,0.7855040431022644,0.8438186894789996,0.6947826743125916,0.14716646075248718,0.6811279654502869,0.6854663774403471,0.7877161502838135,0.8461932332900076,-0.0010662078857421875,0.03517413139343262,1.4784770410042256,0.20082132518291473,0.056142933666706085,0.886956512928009,0.8880434782608696,0.2838611304759979,0.9490336442305787,0.19893765449523926,0.056868989020586014,0.8695651888847351,0.8565217391304348,0.3101831078529358,0.9362759658607102,0.19913937151432037,0.05649711564183235,0.8806941509246826,0.8763557483731019,0.30296286940574646,0.9415691835046672,-0.001883670687675476,-0.0016819536685943604,1.4762572090839967,complete,0.4956433027982712,0.7133789041136552,True,0.4596046805381775,50,50,51.71143312496133,True,"[5, 3]",mps,False,True,/Users/danielmunch/Projects/tabpfn-compile/artifacts/gate2/spambase/compiled-8-42-stratified.csv,0,5.155801773071289e-06,5.960464477539063e-08
